TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_NM_ENG,ITM_ID,UNIT_NM,ORG_ID,UNIT_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,DT,PRD_SE,C1,C1_NM,C1_NM_ENG,LST_CHN_DE
행정구역(시군구)별 성별 인구수,202403,DT_1B040A3,여자인구수,Koreans (Female),T22,명,101,Person,행정구역(시군구)별,By Administrative District,109361,M,11170,용산구,Yongsan-gu,2024-04-01
행정구역(시군구)별 성별 인구수,202404,DT_1B040A3,여자인구수,Koreans (Female),T22,명,101,Person,행정구역(시군구)별,By Administrative District,108403,M,11170,용산구,Yongsan-gu,2024-05-07
행정구역(시군구)별 성별 인구수,202405,DT_1B040A3,여자인구수,Koreans (Female),T22,명,101,Person,행정구역(시군구)별,By Administrative District,107662,M,11170,용산구,Yongsan-gu,2024-06-03
행정구역(시군구)별 성별 인구수,202306,DT_1B040A3,총인구수,Koreans (Total),T20,명,101,Person,행정구역(시군구)별,By Administrative District,279374,M,11200,성동구,Seongdong-gu,2023-07-06
행정구역(시군구)별 성별 인구수,202307,DT_1B040A3,총인구수,Koreans (Total),T20,명,101,Person,행정구역(시군구)별,By Administrative District,279142,M,11200,성동구,Seongdong-gu,2023-08-11
행정구역(시군구)별 성별 인구수,202308,DT_1B040A3,총인구수,Koreans (Total),T20,명,101,Person,행정구역(시군구)별,By Administrative District,278750,M,11200,성동구,Seongdong-gu,2023-09-04
행정구역(시군구)별 성별 인구수,202309,DT_1B040A3,총인구수,Koreans (Total),T20,명,101,Person,행정구역(시군구)별,By Administrative District,278366,M,11200,성동구,Seongdong-gu,2023-10-05
행정구역(시군구)별 성별 인구수,202310,DT_1B040A3,총인구수,Koreans (Total),T20,명,101,Person,행정구역(시군구)별,By Administrative District,278035,M,11200,성동구,Seongdong-gu,2023-11-03
행정구역(시군구)별 성별 인구수,202311,DT_1B040A3,총인구수,Koreans (Total),T20,명,101,Person,행정구역(시군구)별,By Administrative District,277701,M,11200,성동구,Seongdong-gu,2023-12-11
행정구역(시군구)별 성별 인구수,202312,DT_1B040A3,총인구수,Koreans (Total),T20,명,101,Person,행정구역(시군구)별,By Administrative District,277361,M,11200,성동구,Seongdong-gu,2024-01-04
