manageNo,parkNm,parkSe,rdnmadr,lnmadr,latitude,longitude,parkAr,appnNtfcDate,institutionNm,phoneNumber,referenceDate,insttCode
11710-00085,샛팽이,어린이공원,서울특별시 송파구 오금로42길 15,서울특별시 송파구 가락동 170-6,37.496755,127.1339104,1500.7,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11710-00086,석촌,어린이공원,,서울특별시 송파구 석촌동 27,37.505901,127.0998172378,1638.4,,서울특별시 송파구청,02-2147-3380,2023-06-30,3230000
11740-00015,샘물공원,어린이공원,서울특별시 강동구 양재대로1630(명일동),서울특별시 강동구 명일1동 315-1,37.5510159,127.1447414,992.1,1972-11-06,서울특별시 강동구청,02-3425-6440,2023-08-18,3240000
11740-00016,염주골공원,어린이공원,서울특별시 강동구 양재대로138길29(명일동),서울특별시 강동구 명일1동 326-10,37.549932,127.1456059,991.3,1972-11-06,서울특별시 강동구청,02-3425-6440,2023-08-18,3240000
11740-00017,성내천공원,어린이공원,,서울특별시 강동구 성내1동 463-4,37.526764,127.123929,1413.6,1974-12-06,서울특별시 강동구청,02-3425-6440,2023-08-18,3240000
11740-00018,새장터공원,어린이공원,서울특별시 강동구 암사1가길16(암사동),서울특별시 강동구 암사1동 468-2,37.55212624,127.130563,1592.0,1976-04-22,서울특별시 강동구청,02-3425-6440,2023-08-18,3240000
11740-00019,광나루공원,어린이공원,서울특별시 강동구 상암로12-19(암사동),서울특별시 강동구 암사2동 515,37.5500717,127.1255454,1637.7,1976-04-22,서울특별시 강동구청,02-3425-6440,2023-08-18,3240000
11740-00020,볕우물공원,어린이공원,서울특별시 강동구 고덕로24길23(암사동),서울특별시 강동구 암사1동 453-8,37.553613,127.135704,1552.8,1976-04-22,서울특별시 강동구청,02-3425-6440,2023-08-18,3240000
11740-00021,구암공원,어린이공원,,서울특별시 강동구 암사3동 449-8,37.556567,127.137608,1647.8,1976-04-22,서울특별시 강동구청,02-3425-6440,2023-08-18,3240000
11740-00022,선사공원,어린이공원,서울특별시 강동구 올림픽로 836(암사동),서울특별시 강동구 암사3동 440,37.55576061,127.1299975,1610.3,1976-04-22,서울특별시 강동구청,02-3425-6440,2023-08-18,3240000
11740-00023,천사공원,어린이공원,서울특별시 강동구 천중로12길23-23(천호동),서울특별시 강동구 천호2동 363-5,37.54380935,127.1284086,1617.2,1976-04-22,서울특별시 강동구청,02-3425-6440,2023-08-18,3240000
11740-00024,고분다리공원,어린이공원,서울특별시 강동구 구천면로39길23(천호동),서울특별시 강동구 천호2동 300,37.54540502,127.131821,1621.8,1976-04-22,서울특별시 강동구청,02-3425-6440,2023-08-18,3240000
11740-00025,동산공원,어린이공원,,서울특별시 강동구 천호2동 305-11,37.547119,127.129682,1646.0,1976-04-22,서울특별시 강동구청,02-3425-6440,2023-08-18,3240000
11740-00026,광진공원,어린이공원,서울특별시 강동구 구천면로13길21(천호동),서울특별시 강동구 천호2동 338-19,37.542946,127.122505,1672.7,1976-04-22,서울특별시 강동구청,02-3425-6440,2023-08-18,3240000
11740-00001,고명공원,어린이공원,,서울특별시 강동구 명일1동 312-30,37.552473,127.143352,545.0,1970-07-03,서울특별시 강동구청,02-3425-6440,2023-08-18,3240000
11740-00002,일자산공원,근린공원,서울특별시 강동구 동남로 660(둔촌동),서울특별시 강동구 둔촌동 산140,37.5330568,127.1513563,632733.0,1971-08-06,서울특별시 강동구청,02-3425-6440,2023-08-18,3240000
11740-00003,명일공원,근린공원,서울특별시 강동구 구천면로587(상일동),서울특별시 강동구 상일동 135,37.5512577,127.1634092,649709.6,1971-08-06,서울특별시 강동구청,02-3425-6440,2023-08-18,3240000
11740-00004,명우공원,어린이공원,,서울특별시 강동구 명일1동 312-206,37.551537,127.141455,403.0,1971-12-04,서울특별시 강동구청,02-3425-6440,2023-08-18,3240000
